,iso3_code,index,onshore_wacc,offshore_wacc,solar_pv_wacc
0,AND,1,,,
1,ARE,2,6.876451216133777,7.876451216133777,6.155399050565631
2,AFG,3,,,
3,ATG,4,,,
4,AIA,5,,,
5,ALB,6,10.491571256059173,11.491571256059173,10.36119664933263
6,ARM,7,9.276401671350246,10.276401671350246,8.816642677574016
7,AGO,8,11.518897954084062,12.518897954084062,11.536290766455295
8,ARG,9,14.63974880511538,15.63974880511538,15.347232985818561
9,ASM,10,,,
10,AUT,11,5.114089679887917,6.114089679887917,5.075132278513968
11,AUS,12,4.451358461705295,5.451358461705295,3.72310392129035
12,ABW,13,,,
13,ALA,14,,,
14,AZE,15,8.349999153223123,9.349999153223123,8.21641700935469
15,BIH,16,12.690223278301872,13.690223278301872,12.702768307679115
16,BRB,17,13.65845910219647,14.65845910219647,13.117627401000231
17,BGD,18,9.54465923061573,10.54465923061573,9.434442244423984
18,BEL,19,4.776958000852821,5.776958000852821,5.075710384648872
19,BFA,20,12.222003600715635,13.222003600715635,11.141082751264822
20,BGR,21,7.568459870563611,8.568459870563611,6.843083480570632
21,BHR,22,12.628964672325374,13.628964672325374,12.547623039904959
22,BDI,23,,,
23,BEN,24,9.336122873878507,10.336122873878507,9.1575136714549
24,BLM,25,,,
25,BMU,26,,,
26,BRN,27,6.944031152753048,7.944031152753048,6.7764825427193625
27,BOL,28,11.992322492898577,12.992322492898577,12.075926438385153
28,BES,29,,,
29,BRA,30,6.658879143501152,7.658879143501152,6.843345323849059
30,BHS,31,12.104811311838464,13.104811311838464,12.115745546067007
31,BTN,32,,,
32,BVT,33,,,
33,BWA,34,7.265839615614621,8.26583961561462,7.100527037428494
34,BLR,35,20.98623808678422,21.98623808678422,21.441901492488704
35,BLZ,36,16.796448171259165,17.796448171259165,16.747409975801105
36,CAN,37,5.049022310560169,6.049022310560169,5.050042877824575
37,CCK,38,,,
38,COD,39,11.055703168829323,12.055703168829323,11.07719068342033
39,CAF,40,,,
40,COG,41,13.619033805895574,14.619033805895574,13.793943965298054
41,CHE,42,5.773171027208114,6.773171027208114,5.001481787563048
42,CIV,43,8.66276048228001,9.66276048228001,8.476854501352557
43,COK,44,,,
44,CHL,45,5.298080517134555,6.298080517134555,4.354424662295936
45,CMR,46,11.606773680157332,12.606773680157332,11.650585096135504
46,CHN,47,5.556995723648233,6.556995723648233,5.471520793387836
47,COL,48,6.51186418258127,7.51186418258127,6.221513890581637
48,CRI,49,8.312661037579117,9.312661037579117,8.98815478855104
49,CUB,50,,,
50,CPV,51,11.00710277576894,12.00710277576894,11.93623200671526
51,CUW,52,,,
52,CXR,53,,,
53,CYP,54,8.23919228899167,9.23919228899167,7.155611204933765
54,CZE,55,6.396302227202289,7.396302227202289,5.8598409522528545
55,DEU,56,3.4612320975696726,4.461232097569672,4.073390295855164
56,DJI,57,,,
57,DNK,58,1.5124645249110071,2.512464524911007,4.568477679642679
58,DMA,59,,,
59,DOM,60,8.185819764493354,9.185819764493354,8.2729835246536
60,DZA,61,9.559568340356552,10.559568340356552,9.420725206806939
61,ECU,62,14.407638508255648,15.407638508255648,14.549081324022922
62,EST,63,6.1068993405783685,7.1068993405783685,5.861494486156032
63,EGY,64,12.201264346363267,13.201264346363267,12.199829561734546
64,ESH,65,,,
65,ERI,66,,,
66,ESP,67,5.2855279348473765,6.2855279348473765,5.443792222399605
67,ETH,68,12.884018148074286,13.884018148074286,13.22946410798027
68,FIN,69,4.828501323150846,5.828501323150846,5.782189085482755
69,FJI,70,10.40270325783409,11.40270325783409,10.336249293849225
70,FLK,71,,,
71,FSM,72,,,
72,FRO,73,,,
73,FRA,74,5.215050546597697,6.215050546597697,5.219310799781639
74,GAB,75,12.163360674781387,13.163360674781387,12.297697324672555
75,GBR,76,4.044280749496619,5.044280749496619,5.3370635745979405
76,GRD,77,,,
77,GEO,78,9.183759836984738,10.183759836984738,9.120530426469474
78,GUF,79,,,
79,GGY,80,,,
80,GHA,81,14.478626397093816,15.478626397093816,14.55118282817807
81,GIB,82,,,
82,GRL,83,,,
83,GMB,84,9.809047919429432,10.809047919429432,9.81788667748597
84,GIN,85,13.98069254848528,14.98069254848528,14.119333941221104
85,GLP,86,,,
86,GNQ,87,,,
87,GRC,88,6.318159073914597,7.318159073914597,6.215691375471799
88,SGS,89,,,
89,GTM,90,7.633926281026545,8.633926281026545,7.490256568130739
90,GUM,91,,,
91,GNB,92,10.870745732215092,11.870745732215092,10.923171180988046
92,GUY,93,7.4243870412873605,8.42438704128736,7.243408733296597
93,HKG,94,,,
94,HMD,95,,,
95,HND,96,8.709676988922752,9.709676988922752,8.32130150698776
96,HRV,97,6.592643356925722,7.592643356925722,7.371673639188572
97,HTI,98,14.273833659057285,15.273833659057285,14.4832176880136
98,HUN,99,8.080951367665183,9.080951367665183,6.358915002273645
99,IDN,100,7.549931335914739,8.549931335914739,7.349533037154316
100,IRL,101,3.911156731780167,4.911156731780167,6.2095851721894935
101,ISR,102,6.287441377941766,7.287441377941766,5.285827483064542
102,IMN,103,,,
103,IND,104,6.814261550671303,7.814261550671303,6.456641742896798
104,IOT,105,,,
105,IRQ,106,13.696778391857487,14.696778391857487,13.845039517548758
106,IRN,107,11.744352587538074,12.744352587538074,11.849440543730106
107,ISL,108,7.074920283856702,8.074920283856702,6.924345703376739
108,ITA,109,6.6602144699819075,7.6602144699819075,6.188159702379412
109,JEY,110,,,
110,JAM,111,9.155783671604802,10.155783671604802,9.255514012358548
111,JOR,112,9.365169666501835,10.365169666501835,8.563040962427232
112,JPN,113,5.859510330210686,6.859510330210686,4.8854456385965435
113,KEN,114,9.769719988149795,10.769719988149795,10.5689866275549
114,KGZ,115,12.94049336935592,13.94049336935592,12.971328094212238
115,KHM,116,11.060411608347517,12.060411608347517,10.691708647674862
116,KIR,117,,,
117,COM,118,,,
118,KNA,119,,,
119,PRK,120,,,
120,KOR,121,5.818616109821886,6.818616109821886,5.20356460115338
121,KWT,122,7.071802267176727,8.071802267176727,6.841692040728937
122,CYM,123,,,
123,KAZ,124,7.36499608374783,8.36499608374783,7.269196856257098
124,LAO,125,15.319487078755547,16.319487078755547,15.510428597082152
125,LBN,126,21.285344970088055,22.285344970088055,21.46922750981181
126,LCA,127,,,
127,LIE,128,,,
128,LKA,129,15.773265222584762,16.77326522258476,15.911185271869456
129,LBR,130,16.600037065646976,17.600037065646976,16.88119862078233
130,LSO,131,,,
131,LTU,132,3.9155150698410806,4.9155150698410806,6.2677721464783165
132,LUX,133,3.067986822020353,4.067986822020353,4.038157171493807
133,LVA,134,7.089850002703625,8.089850002703624,7.2043722356012765
134,LBY,135,8.033221215425613,9.033221215425613,7.923593688836127
135,MAR,136,6.3688033640046555,7.3688033640046555,6.818034311587361
136,MCO,137,,,
137,MDA,138,12.330974082190801,13.330974082190801,12.493405209371728
138,MNE,139,,,
139,MAF,140,,,
140,MDG,141,12.132028310482042,13.132028310482042,12.064992694890556
141,MHL,142,,,
142,MKD,143,9.85795001908906,10.85795001908906,9.397503244623291
143,MLI,144,13.275439445002174,14.275439445002174,13.353822707479846
144,MMR,145,15.155371860655059,16.15537186065506,15.240783289841719
145,MNG,146,11.097687549900822,12.097687549900822,11.540809323698465
146,MAC,147,,,
147,MNP,148,,,
148,MTQ,149,,,
149,MRT,150,,,
150,MSR,151,,,
151,MLT,152,6.160165486168957,7.160165486168957,4.64411179926992
152,MUS,153,8.605630202845106,9.605630202845106,8.176831062173488
153,MDV,154,13.50509159854407,14.50509159854407,13.019286271558679
154,MWI,155,15.699628569438653,16.69962856943865,14.949970655903984
155,MEX,156,6.442687366403062,7.442687366403062,6.164060979614044
156,MYS,157,6.7960105175839765,7.7960105175839765,6.437493738551941
157,MOZ,158,12.836359290729888,13.836359290729888,12.882774868632236
158,NAM,159,9.283911141066753,10.283911141066753,6.7732385498679495
159,NCL,160,,,
160,NER,161,13.23929912811653,14.23929912811653,12.900782798349546
161,NFK,162,,,
162,NGA,163,11.71683189073859,12.71683189073859,11.71886544670894
163,NIC,164,9.695233077017653,10.695233077017653,10.62524204881163
164,NLD,165,3.8869904661833887,4.886990466183389,3.92724263999009
165,NOR,166,4.974034612678211,5.974034612678211,5.322970497011085
166,NPL,167,,,
167,NRU,168,,,
168,NIU,169,,,
169,NZL,170,4.94757760930452,5.94757760930452,5.14766909689716
170,OMN,171,8.323941319977997,9.323941319977997,8.0203547303248
171,PAN,172,7.006176336032722,8.006176336032722,6.704433156549463
172,PER,173,6.453303682141395,7.453303682141395,6.359480350493628
173,PYF,174,,,
174,PNG,175,10.186861521080326,11.186861521080326,10.174330130938593
175,PHL,176,7.255684817148007,8.255684817148007,7.0062640090893
176,PAK,177,14.100803251490152,15.100803251490152,14.325055438173056
177,POL,178,5.796835374633531,6.796835374633531,5.981255621133127
178,SPM,179,,,
179,PCN,180,,,
180,PRI,181,,,
181,PSE,182,,,
182,PRT,183,4.279516841922743,5.279516841922743,5.236352595313126
183,PLW,184,,,
184,PRY,185,9.102810788759163,10.102810788759163,8.960021142089328
185,QAT,186,7.0491737476510945,8.049173747651095,6.755403897671855
186,REU,187,,,
187,ROU,188,7.077458535031463,8.077458535031463,7.556495847237223
188,SRB,189,8.855618003025361,9.855618003025361,8.877424842109487
189,RUS,190,9.965022943421406,10.965022943421406,9.865645595796225
190,RWA,191,9.86820424405309,10.86820424405309,9.619887136298257
191,SAU,192,6.349770150071437,7.349770150071437,6.006967646329219
192,SLB,193,12.01378510023273,13.01378510023273,12.106740415175704
193,SYC,194,,,
194,SDN,195,19.163929043175646,20.163929043175646,19.606209352516792
195,SWE,196,4.326448141302798,5.326448141302798,5.4037479792377
196,SGP,197,,,5.624033258916313
197,SHN,198,,,
198,SVN,199,7.451643573388323,8.451643573388324,6.959409466697601
199,SJM,200,,,
200,SVK,201,6.512542367004508,7.512542367004508,6.060789983587135
201,SLE,202,14.737998573274554,15.737998573274554,14.54200364628253
202,SMR,203,,,
203,SEN,204,7.740568064255769,8.740568064255768,7.463281399802886
204,SOM,205,,,
205,SUR,206,13.704047289053104,14.704047289053104,13.900054973208995
206,SSD,207,,,
207,STP,208,,,
208,SLV,209,13.990938273036608,14.990938273036608,13.052536222701498
209,SXM,210,,,
210,SYR,211,20.26378538516269,21.26378538516269,20.784259694286877
211,SWZ,212,11.529198367966806,12.529198367966806,11.623396550114872
212,TCA,213,,,
213,TCD,214,,,
214,ATF,215,,,
215,TGO,216,11.317093418604383,12.317093418604383,10.830095834704185
216,THA,217,7.3171154232854185,8.317115423285419,7.072506129682369
217,TJK,218,12.283661760437216,13.283661760437216,12.340234537594732
218,TKL,219,,,
219,TLS,220,,,
220,TKM,221,,,
221,TUN,222,14.499359989343201,15.499359989343201,14.578778344094665
222,TON,223,,,
223,TUR,224,10.546722079873263,11.546722079873263,10.826107781326927
224,TTO,225,8.279949973933354,9.279949973933354,8.219416217099019
225,TUV,226,,,
226,TWN,227,6.737515213380423,7.737515213380423,6.31571180849911
227,TZA,228,10.077317307700023,11.077317307700023,9.994678327759008
228,UKR,229,17.169387130096187,18.169387130096187,17.14483809519592
229,UGA,230,10.031403576154768,11.031403576154768,9.801461532764819
230,UMI,231,,,
231,USA,232,4.900273525452402,5.900273525452402,4.8807130639030625
232,URY,233,4.780812496660194,5.780812496660194,6.809443991972293
233,UZB,234,9.745328048967778,10.745328048967778,9.648858694807984
234,VAT,235,,,
235,VCT,236,11.480806078552495,12.480806078552495,11.574582129687641
236,VEN,237,19.328396638802403,20.328396638802403,19.807013697393693
237,VGB,238,,,
238,VIR,239,,,
239,VNM,240,8.22676206357264,9.22676206357264,7.54461306638279
240,VUT,241,,,
241,WLF,242,,,
242,WSM,243,,,
243,XKX,244,,,
244,XXA,245,,,
245,YEM,246,15.393630886249797,16.393630886249795,13.98476763673007
246,MYT,247,,,
247,ZAF,248,7.620118122369285,8.620118122369284,7.264637287924816
248,ZMB,249,14.025004581401635,15.025004581401635,14.112044024367393
249,ZWE,250,13.72111161853714,14.72111161853714,13.804408267888178
